oblast,week_ending,total_damaged_buildings
Kharkivska,2025-04-06,20
Khersonska,2025-04-06,19
Kirovohradska,2025-04-06,2
Kyiv,2025-04-06,5
Kyivska,2025-04-06,14
Mykolaivska,2025-04-06,2
Odeska,2025-04-06,2
Sumska,2025-04-06,13
Zaporizka,2025-04-06,12
Cherkaska,2025-03-30,1
Chernihivska,2025-03-30,2
Dnipropetrovska,2025-03-30,65
Donetska,2025-03-30,22
Kharkivska,2025-03-30,41
Khersonska,2025-03-30,19
Kyivska,2025-03-30,3
Mykolaivska,2025-03-30,2
Odeska,2025-03-30,3
Poltavska,2025-03-30,6
Sumska,2025-03-30,28
Zaporizka,2025-03-30,5
Cherkaska,2025-03-23,2
Chernihivska,2025-03-23,15
Dnipropetrovska,2025-03-23,19
Donetska,2025-03-23,54
Kharkivska,2025-03-23,23
Khersonska,2025-03-23,11
Khmelnytska,2025-03-23,4
Kirovohradska,2025-03-23,8
Kyiv,2025-03-23,5
Kyivska,2025-03-23,4
Mykolaivska,2025-03-23,3
Odeska,2025-03-23,15
Poltavska,2025-03-23,1
Sumska,2025-03-23,34
Zaporizka,2025-03-23,8
Autonomous Republic of Crimea,2025-03-16,1
Chernihivska,2025-03-16,7
Dnipropetrovska,2025-03-16,55
Donetska,2025-03-16,73
Kharkivska,2025-03-16,15
Khersonska,2025-03-16,16
Kyivska,2025-03-16,2
Mykolaivska,2025-03-16,2
Odeska,2025-03-16,12
Poltavska,2025-03-16,1
Sumska,2025-03-16,13
Zaporizka,2025-03-16,4
Cherkaska,2025-03-09,4
Chernihivska,2025-03-09,2
Dnipropetrovska,2025-03-09,40
Donetska,2025-03-09,74
Kharkivska,2025-03-09,31
Khersonska,2025-03-09,14
Kyivska,2025-03-09,8
Mykolaivska,2025-03-09,1
Odeska,2025-03-09,23
Poltavska,2025-03-09,3
Sumska,2025-03-09,25
Ternopilska,2025-03-09,4
Zaporizka,2025-03-09,1
Cherkaska,2025-03-02,2
Chernihivska,2025-03-02,4
Dnipropetrovska,2025-03-02,25
Donetska,2025-03-02,136
Kharkivska,2025-03-02,51
Khersonska,2025-03-02,16
Khmelnytska,2025-03-02,4
Kirovohradska,2025-03-02,1
Kyivska,2025-03-02,2
Mykolaivska,2025-03-02,7
Odeska,2025-03-02,4
Poltavska,2025-03-02,1
Sumska,2025-03-02,23
Zaporizka,2025-03-02,3
Cherkaska,2025-02-23,5
Chernihivska,2025-02-23,2
Dnipropetrovska,2025-02-23,42
Donetska,2025-02-23,85
Kharkivska,2025-02-23,38
Khersonska,2025-02-23,19
Khmelnytska,2025-02-23,3
Kirovohradska,2025-02-23,1
Kyiv,2025-02-23,4
Kyivska,2025-02-23,14
Mykolaivska,2025-02-23,2
Odeska,2025-02-23,14
Poltavska,2025-02-23,2
Sumska,2025-02-23,4
Zaporizka,2025-02-23,2
Chernihivska,2025-02-16,4
Dnipropetrovska,2025-02-16,36
Donetska,2025-02-16,42
Kharkivska,2025-02-16,14
Khersonska,2025-02-16,18
Kirovohradska,2025-02-16,1
Kyiv,2025-02-16,12
Kyivska,2025-02-16,8
Mykolaivska,2025-02-16,18
Odeska,2025-02-16,4
Poltavska,2025-02-16,2
Sumska,2025-02-16,11
Cherkaska,2025-02-09,3
Chernihivska,2025-02-09,1
Dnipropetrovska,2025-02-09,34
Donetska,2025-02-09,54
Kharkivska,2025-02-09,20
Khersonska,2025-02-09,7
Khmelnytska,2025-02-09,2
Kirovohradska,2025-02-09,1
Kyiv,2025-02-09,4
Odeska,2025-02-09,2
Sumska,2025-02-09,16
Cherkaska,2025-02-02,2
Chernihivska,2025-02-02,4
Dnipropetrovska,2025-02-02,29
Donetska,2025-02-02,38
Kharkivska,2025-02-02,15
Khersonska,2025-02-02,9
Kyiv,2025-02-02,1
Kyivska,2025-02-02,3
Mykolaivska,2025-02-02,4
Odeska,2025-02-02,30
Poltavska,2025-02-02,4
Sumska,2025-02-02,5
Zaporizka,2025-02-02,9
Cherkaska,2025-01-26,4
Chernihivska,2025-01-26,1
Dnipropetrovska,2025-01-26,29
Donetska,2025-01-26,38
Kharkivska,2025-01-26,12
Khersonska,2025-01-26,11
Khmelnytska,2025-01-26,1
Kyivska,2025-01-26,9
Mykolaivska,2025-01-26,10
Poltavska,2025-01-26,2
Sumska,2025-01-26,16
Zaporizka,2025-01-26,30
Cherkaska,2025-01-19,1
Chernihivska,2025-01-19,4
Dnipropetrovska,2025-01-19,18
Donetska,2025-01-19,27
Ivano-Frankivska,2025-01-19,2
Kharkivska,2025-01-19,15
Khersonska,2025-01-19,12
Kyiv,2025-01-19,12
Kyivska,2025-01-19,4
Lvivska,2025-01-19,3
Mykolaivska,2025-01-19,1
Odeska,2025-01-19,4
Poltavska,2025-01-19,1
Sumska,2025-01-19,9
Zaporizka,2025-01-19,4
Zhytomyrska,2025-01-19,2
Cherkaska,2025-01-12,3
Chernihivska,2025-01-12,5
Dnipropetrovska,2025-01-12,31
Donetska,2025-01-12,38
Kharkivska,2025-01-12,10
Khersonska,2025-01-12,17
Kirovohradska,2025-01-12,2
Kyivska,2025-01-12,2
Mykolaivska,2025-01-12,3
Poltavska,2025-01-12,1
Sumska,2025-01-12,5
Zaporizka,2025-01-12,14
Chernihivska,2025-01-05,15
Dnipropetrovska,2025-01-05,31
Donetska,2025-01-05,30
Kharkivska,2025-01-05,8
Khersonska,2025-01-05,14
Kyiv,2025-01-05,8
Kyivska,2025-01-05,5
Mykolaivska,2025-01-05,1
Odeska,2025-01-05,1
Sumska,2025-01-05,17
Zaporizka,2025-01-05,2
Dnipropetrovska,2024-12-29,70
Donetska,2024-12-29,16
Ivano-Frankivska,2024-12-29,1
Kharkivska,2024-12-29,10
Khersonska,2024-12-29,14
Khmelnytska,2024-12-29,2
Kirovohradska,2024-12-29,2
Kyivska,2024-12-29,2
Mykolaivska,2024-12-29,5
Poltavska,2024-12-29,1
Sumska,2024-12-29,2
Vinnytska,2024-12-29,1
Zaporizka,2024-12-29,2
Cherkaska,2024-12-22,1
Chernihivska,2024-12-22,5
Dnipropetrovska,2024-12-22,41
Donetska,2024-12-22,27
Kharkivska,2024-12-22,11
Khersonska,2024-12-22,32
Kyiv,2024-12-22,21
Kyivska,2024-12-22,3
Mykolaivska,2024-12-22,2
Sumska,2024-12-22,9
Zaporizka,2024-12-22,2
Zhytomyrska,2024-12-22,1
Cherkaska,2024-12-15,1
Chernihivska,2024-12-15,7
Dnipropetrovska,2024-12-15,28
Donetska,2024-12-15,28
Ivano-Frankivska,2024-12-15,1
Kharkivska,2024-12-15,12
Khersonska,2024-12-15,8
Khmelnytska,2024-12-15,1
Kyivska,2024-12-15,6
Lvivska,2024-12-15,6
Mykolaivska,2024-12-15,1
Odeska,2024-12-15,2
Rivnenska,2024-12-15,1
Sevastopol,2024-12-15,1
Sumska,2024-12-15,5
Ternopilska,2024-12-15,1
Vinnytska,2024-12-15,3
Zakarpatska,2024-12-15,1
Zaporizka,2024-12-15,9
Autonomous Republic of Crimea,2024-12-08,2
Chernihivska,2024-12-08,2
Dnipropetrovska,2024-12-08,75
Donetska,2024-12-08,39
Kharkivska,2024-12-08,2
Khersonska,2024-12-08,15
Kyiv,2024-12-08,1
Kyivska,2024-12-08,4
Mykolaivska,2024-12-08,4
Rivnenska,2024-12-08,1
Sumska,2024-12-08,3
Ternopilska,2024-12-08,3
Zaporizka,2024-12-08,8
Zhytomyrska,2024-12-08,1
Autonomous Republic of Crimea,2024-12-01,1
Dnipropetrovska,2024-12-01,20
Donetska,2024-12-01,17
Ivano-Frankivska,2024-12-01,1
Kharkivska,2024-12-01,17
Khersonska,2024-12-01,13
Kyiv,2024-12-01,3
Kyivska,2024-12-01,5
Lvivska,2024-12-01,2
Mykolaivska,2024-12-01,2
Odeska,2024-12-01,18
Rivnenska,2024-12-01,2
Sevastopol,2024-12-01,1
Sumska,2024-12-01,9
Ternopilska,2024-12-01,2
Zaporizka,2024-12-01,2
Zhytomyrska,2024-12-01,1
Cherkaska,2024-11-24,2
Chernihivska,2024-11-24,1
Dnipropetrovska,2024-11-24,18
Donetska,2024-11-24,16
Kharkivska,2024-11-24,6
Khersonska,2024-11-24,12
Kyivska,2024-11-24,9
Odeska,2024-11-24,6
Sumska,2024-11-24,17
