oblast,week_ending,total_damaged_buildings
Donetska,2023-11-12,6
Kharkivska,2023-11-12,1
Khersonska,2023-11-12,14
Odeska,2023-11-12,1
Sumska,2023-11-12,1
Autonomous Republic of Crimea,2023-11-05,1
Dnipropetrovska,2023-11-05,24
Donetska,2023-11-05,16
Kharkivska,2023-11-05,7
Khersonska,2023-11-05,9
Mykolaivska,2023-11-05,4
Odeska,2023-11-05,4
Sumska,2023-11-05,1
Dnipropetrovska,2023-10-29,10
Donetska,2023-10-29,12
Kharkivska,2023-10-29,2
Khersonska,2023-10-29,9
Khmelnytska,2023-10-29,37
Kirovohradska,2023-10-29,1
Odeska,2023-10-29,1
Sumska,2023-10-29,3
Chernihivska,2023-10-22,1
Dnipropetrovska,2023-10-22,25
Donetska,2023-10-22,24
Kharkivska,2023-10-22,9
Khersonska,2023-10-22,19
Mykolaivska,2023-10-22,3
Odeska,2023-10-22,2
Zaporizka,2023-10-22,2
Dnipropetrovska,2023-10-15,28
Donetska,2023-10-15,32
Kharkivska,2023-10-15,4
Khersonska,2023-10-15,12
Mykolaivska,2023-10-15,4
Odeska,2023-10-15,1
Sumska,2023-10-15,8
Dnipropetrovska,2023-10-08,13
Donetska,2023-10-08,20
Kharkivska,2023-10-08,16
Khersonska,2023-10-08,18
Odeska,2023-10-08,3
Sumska,2023-10-08,3
Cherkaska,2023-10-01,1
Dnipropetrovska,2023-10-01,14
Donetska,2023-10-01,32
Kharkivska,2023-10-01,8
Khersonska,2023-10-01,30
Mykolaivska,2023-10-01,3
Odeska,2023-10-01,4
Sumska,2023-10-01,1
Chernihivska,2023-09-24,1
Dnipropetrovska,2023-09-24,24
Donetska,2023-09-24,20
Kharkivska,2023-09-24,4
Khersonska,2023-09-24,11
Khmelnytska,2023-09-24,2
Kyiv,2023-09-24,2
Lvivska,2023-09-24,3
Odeska,2023-09-24,2
Poltavska,2023-09-24,1
Sumska,2023-09-24,8
Dnipropetrovska,2023-09-17,19
Donetska,2023-09-17,10
Kharkivska,2023-09-17,6
Khersonska,2023-09-17,18
Mykolaivska,2023-09-17,1
Odeska,2023-09-17,4
Sumska,2023-09-17,6
Dnipropetrovska,2023-09-10,12
Donetska,2023-09-10,38
Kharkivska,2023-09-10,2
Khersonska,2023-09-10,11
Kyivska,2023-09-10,5
Odeska,2023-09-10,10
Sumska,2023-09-10,13
Zaporizka,2023-09-10,4
Chernihivska,2023-09-03,1
Dnipropetrovska,2023-09-03,14
Donetska,2023-09-03,27
Kharkivska,2023-09-03,17
Khersonska,2023-09-03,7
Kyivska,2023-09-03,2
Poltavska,2023-09-03,1
Sumska,2023-09-03,19
Zaporizka,2023-09-03,1
Zhytomyrska,2023-09-03,1
Chernihivska,2023-08-27,1
Dnipropetrovska,2023-08-27,27
Donetska,2023-08-27,16
Kharkivska,2023-08-27,17
Khersonska,2023-08-27,29
Mykolaivska,2023-08-27,3
Odeska,2023-08-27,2
Sumska,2023-08-27,1
Cherkaska,2023-08-20,3
Chernihivska,2023-08-20,14
Dnipropetrovska,2023-08-20,12
Donetska,2023-08-20,24
Kharkivska,2023-08-20,5
Khersonska,2023-08-20,9
Khmelnytska,2023-08-20,3
Lvivska,2023-08-20,4
Odeska,2023-08-20,11
Sumska,2023-08-20,4
Volynska,2023-08-20,1
Zaporizka,2023-08-20,4
Dnipropetrovska,2023-08-13,25
Donetska,2023-08-13,21
Ivano-Frankivska,2023-08-13,1
Kharkivska,2023-08-13,6
Khersonska,2023-08-13,16
Kyiv,2023-08-13,1
Rivnenska,2023-08-13,1
Sumska,2023-08-13,1
Zaporizka,2023-08-13,4
Dnipropetrovska,2023-08-06,16
Donetska,2023-08-06,16
Kharkivska,2023-08-06,11
Khersonska,2023-08-06,20
Khmelnytska,2023-08-06,3
Kyivska,2023-08-06,1
Luhanska,2023-08-06,3
Odeska,2023-08-06,7
Sumska,2023-08-06,2
Zaporizka,2023-08-06,2
Cherkaska,2023-07-30,1
Dnipropetrovska,2023-07-30,15
Donetska,2023-07-30,12
Kharkivska,2023-07-30,7
Khersonska,2023-07-30,7
Odeska,2023-07-30,7
Sumska,2023-07-30,6
Chernihivska,2023-07-23,2
Dnipropetrovska,2023-07-23,5
Donetska,2023-07-23,31
Kharkivska,2023-07-23,6
Khersonska,2023-07-23,12
Mykolaivska,2023-07-23,6
Odeska,2023-07-23,43
Sumska,2023-07-23,10
Zaporizka,2023-07-23,2
Chernihivska,2023-07-16,1
Dnipropetrovska,2023-07-16,4
Donetska,2023-07-16,18
Kharkivska,2023-07-16,4
Khersonska,2023-07-16,11
Kyiv,2023-07-16,1
Mykolaivska,2023-07-16,2
Odeska,2023-07-16,1
Sumska,2023-07-16,4
Zaporizka,2023-07-16,6
Cherkaska,2023-07-09,1
Dnipropetrovska,2023-07-09,5
Donetska,2023-07-09,13
Kharkivska,2023-07-09,2
Khersonska,2023-07-09,3
Lvivska,2023-07-09,8
Mykolaivska,2023-07-09,2
Sumska,2023-07-09,6
Cherkaska,2023-07-02,1
Dnipropetrovska,2023-07-02,5
Donetska,2023-07-02,25
Kharkivska,2023-07-02,2
Khersonska,2023-07-02,6
Sumska,2023-07-02,1
Zaporizka,2023-07-02,3
Dnipropetrovska,2023-06-25,17
Donetska,2023-06-25,17
Kharkivska,2023-06-25,6
Khersonska,2023-06-25,15
Kyivska,2023-06-25,3
Mykolaivska,2023-06-25,2
Odeska,2023-06-25,1
Sumska,2023-06-25,6
Zaporizka,2023-06-25,4
Chernihivska,2023-06-18,1
Dnipropetrovska,2023-06-18,6
Donetska,2023-06-18,22
Kharkivska,2023-06-18,5
Khersonska,2023-06-18,44
Kirovohradska,2023-06-18,1
Mykolaivska,2023-06-18,1
Odeska,2023-06-18,9
Sumska,2023-06-18,19
Zaporizka,2023-06-18,1
Cherkaska,2023-06-11,3
Chernihivska,2023-06-11,2
Dnipropetrovska,2023-06-11,14
Donetska,2023-06-11,30
Kharkivska,2023-06-11,12
Khersonska,2023-06-11,43
Kyivska,2023-06-11,3
Luhanska,2023-06-11,2
Mykolaivska,2023-06-11,6
Sumska,2023-06-11,17
Zaporizka,2023-06-11,5
Zhytomyrska,2023-06-11,2
Chernihivska,2023-06-04,1
Dnipropetrovska,2023-06-04,10
Donetska,2023-06-04,25
Kharkivska,2023-06-04,16
Khersonska,2023-06-04,10
Kirovohradska,2023-06-04,1
Mykolaivska,2023-06-04,2
Odeska,2023-06-04,1
Sumska,2023-06-04,7
Chernivetska,2023-05-28,2
Dnipropetrovska,2023-05-28,26
Donetska,2023-05-28,33
Kharkivska,2023-05-28,18
Khersonska,2023-05-28,15
Mykolaivska,2023-05-28,5
Sumska,2023-05-28,7
Zaporizka,2023-05-28,1
Autonomous Republic of Crimea,2023-05-21,1
Dnipropetrovska,2023-05-21,15
Donetska,2023-05-21,39
Kharkivska,2023-05-21,7
Khersonska,2023-05-21,10
Khmelnytska,2023-05-21,1
Luhanska,2023-05-21,2
Mykolaivska,2023-05-21,10
Odeska,2023-05-21,1
Sumska,2023-05-21,2
Cherkaska,2023-05-14,1
Chernihivska,2023-05-14,3
Dnipropetrovska,2023-05-14,10
Donetska,2023-05-14,43
Kharkivska,2023-05-14,16
Khersonska,2023-05-14,17
Khmelnytska,2023-05-14,32
Kyiv,2023-05-14,2
Luhanska,2023-05-14,1
Mykolaivska,2023-05-14,5
Odeska,2023-05-14,10
Sumska,2023-05-14,7
Ternopilska,2023-05-14,3
Zaporizka,2023-05-14,2
Chernihivska,2023-05-07,2
Dnipropetrovska,2023-05-07,26
Donetska,2023-05-07,13
Kharkivska,2023-05-07,5
Khersonska,2023-05-07,13
Kirovohradska,2023-05-07,1
Kyiv,2023-05-07,1
Mykolaivska,2023-05-07,3
Odeska,2023-05-07,1
Sumska,2023-05-07,5
Zaporizka,2023-05-07,1
Zhytomyrska,2023-05-07,1
Chernihivska,2023-04-30,2
Dnipropetrovska,2023-04-30,12
Donetska,2023-04-30,14
Kharkivska,2023-04-30,3
Khersonska,2023-04-30,12
Mykolaivska,2023-04-30,2
Sumska,2023-04-30,10
Zaporizka,2023-04-30,2
Dnipropetrovska,2023-04-23,9
Donetska,2023-04-23,11
Kharkivska,2023-04-23,2
Khersonska,2023-04-23,8
Mykolaivska,2023-04-23,2
Odeska,2023-04-23,2
Sumska,2023-04-23,1
Zaporizka,2023-04-23,1
Chernihivska,2023-04-16,2
Dnipropetrovska,2023-04-16,6
Donetska,2023-04-16,22
Kharkivska,2023-04-16,6
Khersonska,2023-04-16,14
Mykolaivska,2023-04-16,11
Sumska,2023-04-16,6
Zaporizka,2023-04-16,7
Chernihivska,2023-04-09,4
Dnipropetrovska,2023-04-09,1
Donetska,2023-04-09,12
Kharkivska,2023-04-09,4
Khersonska,2023-04-09,14
Mykolaivska,2023-04-09,3
Odeska,2023-04-09,1
Sumska,2023-04-09,5
Zaporizka,2023-04-09,3
Dnipropetrovska,2023-04-02,2
Donetska,2023-04-02,14
Kharkivska,2023-04-02,6
Khersonska,2023-04-02,2
Kyiv,2023-04-02,1
Sumska,2023-04-02,3
Zaporizka,2023-04-02,4
Autonomous Republic of Crimea,2023-03-26,1
Dnipropetrovska,2023-03-26,1
Donetska,2023-03-26,12
Kharkivska,2023-03-26,6
Khersonska,2023-03-26,11
Kyivska,2023-03-26,1
Odeska,2023-03-26,1
Sumska,2023-03-26,9
Dnipropetrovska,2023-03-19,1
Donetska,2023-03-19,29
Kharkivska,2023-03-19,5
Khersonska,2023-03-19,3
Odeska,2023-03-19,1
Sumska,2023-03-19,1
Dnipropetrovska,2023-03-12,7
Donetska,2023-03-12,8
Kharkivska,2023-03-12,4
Khersonska,2023-03-12,2
Kyivska,2023-03-12,1
Odeska,2023-03-12,2
Zaporizka,2023-03-12,3
Zhytomyrska,2023-03-12,1
Dnipropetrovska,2023-03-05,27
Donetska,2023-03-05,28
Kharkivska,2023-03-05,12
Khersonska,2023-03-05,2
Mykolaivska,2023-03-05,3
Sumska,2023-03-05,5
Zaporizka,2023-03-05,2
Chernihivska,2023-02-26,4
Dnipropetrovska,2023-02-26,3
Donetska,2023-02-26,6
Kharkivska,2023-02-26,11
Khersonska,2023-02-26,7
Luhanska,2023-02-26,1
Sumska,2023-02-26,1
Zaporizka,2023-02-26,1
Dnipropetrovska,2023-02-19,6
Donetska,2023-02-19,16
Kharkivska,2023-02-19,7
Khersonska,2023-02-19,7
Khmelnytska,2023-02-19,1
Kirovohradska,2023-02-19,2
Lvivska,2023-02-19,3
Poltavska,2023-02-19,1
Sevastopol,2023-02-19,1
Chernihivska,2023-02-12,1
Dnipropetrovska,2023-02-12,23
Donetska,2023-02-12,7
Kharkivska,2023-02-12,13
Khersonska,2023-02-12,11
Khmelnytska,2023-02-12,1
Kyiv,2023-02-12,1
Mykolaivska,2023-02-12,1
Odeska,2023-02-12,1
Sumska,2023-02-12,1
Zaporizka,2023-02-12,2
Dnipropetrovska,2023-02-05,4
Donetska,2023-02-05,19
Kharkivska,2023-02-05,3
Khersonska,2023-02-05,5
Mykolaivska,2023-02-05,2
Sumska,2023-02-05,2
Dnipropetrovska,2023-01-29,9
Donetska,2023-01-29,14
Kharkivska,2023-01-29,10
Khersonska,2023-01-29,14
Kyivska,2023-01-29,1
Odeska,2023-01-29,2
Sumska,2023-01-29,17
Zaporizka,2023-01-29,4
Dnipropetrovska,2023-01-22,7
Donetska,2023-01-22,13
Kharkivska,2023-01-22,4
Khersonska,2023-01-22,11
Zaporizka,2023-01-22,8
Dnipropetrovska,2023-01-15,25
Donetska,2023-01-15,9
Ivano-Frankivska,2023-01-15,1
Kharkivska,2023-01-15,4
Khersonska,2023-01-15,7
Kyiv,2023-01-15,3
Kyivska,2023-01-15,1
Lvivska,2023-01-15,1
Mykolaivska,2023-01-15,2
Sumska,2023-01-15,6
Vinnytska,2023-01-15,1
Zaporizka,2023-01-15,3
Dnipropetrovska,2023-01-08,9
Donetska,2023-01-08,18
Kharkivska,2023-01-08,2
Khersonska,2023-01-08,13
Kyiv,2023-01-08,1
Luhanska,2023-01-08,2
Sumska,2023-01-08,8
Zaporizka,2023-01-08,6
Dnipropetrovska,2023-01-01,21
Donetska,2023-01-01,2
Kharkivska,2023-01-01,1
Khersonska,2023-01-01,13
Khmelnytska,2023-01-01,2
Kyiv,2023-01-01,16
Kyivska,2023-01-01,2
Lvivska,2023-01-01,1
Mykolaivska,2023-01-01,4
Odeska,2023-01-01,1
Sumska,2023-01-01,14
Zaporizka,2023-01-01,2
Dnipropetrovska,2022-12-25,28
Donetska,2022-12-25,11
Kharkivska,2022-12-25,3
Khersonska,2022-12-25,17
Kyiv,2022-12-25,2
Sumska,2022-12-25,8
Zaporizka,2022-12-25,4
Dnipropetrovska,2022-12-18,14
Donetska,2022-12-18,5
Kharkivska,2022-12-18,6
Khersonska,2022-12-18,21
Kyiv,2022-12-18,3
Mykolaivska,2022-12-18,2
Sumska,2022-12-18,2
Zaporizka,2022-12-18,2
Zhytomyrska,2022-12-18,1
Dnipropetrovska,2022-12-11,21
Donetska,2022-12-11,3
Kharkivska,2022-12-11,1
Khersonska,2022-12-11,5
Kyivska,2022-12-11,1
Odeska,2022-12-11,3
Sumska,2022-12-11,4
Vinnytska,2022-12-11,1
Zaporizka,2022-12-11,1
Dnipropetrovska,2022-12-04,5
Donetska,2022-12-04,1
Kharkivska,2022-12-04,1
Khersonska,2022-12-04,7
Mykolaivska,2022-12-04,1
Sumska,2022-12-04,19
Zaporizka,2022-12-04,5
Dnipropetrovska,2022-11-27,1
Donetska,2022-11-27,2
Kharkivska,2022-11-27,3
Khersonska,2022-11-27,5
Kyiv,2022-11-27,2
Kyivska,2022-11-27,1
Lvivska,2022-11-27,1
Mykolaivska,2022-11-27,1
Sumska,2022-11-27,8
Zaporizka,2022-11-27,3
Dnipropetrovska,2022-11-20,11
Kharkivska,2022-11-20,3
Khersonska,2022-11-20,2
Khmelnytska,2022-11-20,1
Kirovohradska,2022-11-20,2
Kyiv,2022-11-20,3
Lvivska,2022-11-20,1
Odeska,2022-11-20,1
Poltavska,2022-11-20,1
Rivnenska,2022-11-20,1
Sumska,2022-11-20,5
Vinnytska,2022-11-20,1
Volynska,2022-11-20,1
Zaporizka,2022-11-20,4
Zhytomyrska,2022-11-20,3
Dnipropetrovska,2022-11-13,11
Donetska,2022-11-13,6
Kharkivska,2022-11-13,1
Khersonska,2022-11-13,11
Luhanska,2022-11-13,1
Sumska,2022-11-13,7
Vinnytska,2022-11-13,1
Zaporizka,2022-11-13,19
Cherkaska,2022-11-06,1
Chernivetska,2022-11-06,1
Dnipropetrovska,2022-11-06,21
Donetska,2022-11-06,1
Kharkivska,2022-11-06,2
Khmelnytska,2022-11-06,1
Kirovohradska,2022-11-06,1
Kyiv,2022-11-06,1
Mykolaivska,2022-11-06,1
Poltavska,2022-11-06,1
Sumska,2022-11-06,9
Zaporizka,2022-11-06,3
Dnipropetrovska,2022-10-30,6
Luhanska,2022-10-30,1
Mykolaivska,2022-10-30,1
Sumska,2022-10-30,1
Zaporizka,2022-10-30,1
Khersonska,2022-10-23,2
Mykolaivska,2022-10-16,1
Dnipropetrovska,2022-10-09,19
Donetska,2022-10-09,2
Mykolaivska,2022-10-09,5
Sumska,2022-10-09,1
Zaporizka,2022-10-09,6
Donetska,2022-10-02,5
Donetska,2022-09-25,1
Donetska,2022-09-18,1
Donetska,2022-09-11,2
Dnipropetrovska,2022-09-04,4
Donetska,2022-09-04,7
Kharkivska,2022-09-04,1
Mykolaivska,2022-09-04,1
Dnipropetrovska,2022-08-28,13
Donetska,2022-08-28,3
Kharkivska,2022-08-28,3
Khersonska,2022-08-28,1
Mykolaivska,2022-08-28,1
Zaporizka,2022-08-28,1
Dnipropetrovska,2022-08-21,12
Donetska,2022-08-21,5
Kharkivska,2022-08-21,2
Mykolaivska,2022-08-21,2
Dnipropetrovska,2022-08-14,21
Donetska,2022-08-14,13
Kharkivska,2022-08-14,7
Khersonska,2022-08-14,4
Dnipropetrovska,2022-08-07,11
Donetska,2022-08-07,9
Kharkivska,2022-08-07,2
Khersonska,2022-08-07,1
Mykolaivska,2022-08-07,6
Sumska,2022-08-07,3
Zaporizka,2022-08-07,6
Dnipropetrovska,2022-07-31,6
Donetska,2022-07-31,11
Kharkivska,2022-07-31,9
Mykolaivska,2022-07-31,8
Odeska,2022-07-31,15
Dnipropetrovska,2022-07-24,7
Donetska,2022-07-24,21
Kharkivska,2022-07-24,3
Mykolaivska,2022-07-24,5
Odeska,2022-07-24,2
Sumska,2022-07-24,1
Zaporizka,2022-07-24,4
Dnipropetrovska,2022-07-17,3
Donetska,2022-07-17,2
Kharkivska,2022-07-17,2
Luhanska,2022-07-17,2
Mykolaivska,2022-07-17,9
Odeska,2022-07-17,1
Vinnytska,2022-07-17,3
Zaporizka,2022-07-17,1
Dnipropetrovska,2022-07-10,3
Donetska,2022-07-10,9
Kharkivska,2022-07-10,8
Mykolaivska,2022-07-10,4
Odeska,2022-07-10,1
Sumska,2022-07-10,3
Zaporizka,2022-07-10,3
Dnipropetrovska,2022-07-03,8
Donetska,2022-07-03,8
Kharkivska,2022-07-03,16
Khersonska,2022-07-03,1
Kyivska,2022-07-03,1
Luhanska,2022-07-03,10
Mykolaivska,2022-07-03,6
Odeska,2022-07-03,2
Poltavska,2022-07-03,2
Sumska,2022-07-03,4
Zaporizka,2022-07-03,1
Cherkaska,2022-06-26,1
Chernihivska,2022-06-26,1
Dnipropetrovska,2022-06-26,10
Donetska,2022-06-26,11
Kharkivska,2022-06-26,10
Mykolaivska,2022-06-26,6
Odeska,2022-06-26,1
Sumska,2022-06-26,9
Zaporizka,2022-06-26,4
Dnipropetrovska,2022-06-19,7
Donetska,2022-06-19,15
Kharkivska,2022-06-19,10
Luhanska,2022-06-19,1
Lvivska,2022-06-19,7
Mykolaivska,2022-06-19,2
Sumska,2022-06-19,2
Zaporizka,2022-06-19,9
Dnipropetrovska,2022-06-12,7
Donetska,2022-06-12,9
Kharkivska,2022-06-12,13
Luhanska,2022-06-12,6
Mykolaivska,2022-06-12,2
Sumska,2022-06-12,1
Ternopilska,2022-06-12,1
Zaporizka,2022-06-12,2
Dnipropetrovska,2022-06-05,4
Donetska,2022-06-05,20
Kharkivska,2022-06-05,9
Kyivska,2022-06-05,1
Luhanska,2022-06-05,9
Lvivska,2022-06-05,2
Mykolaivska,2022-06-05,3
Odeska,2022-06-05,3
Zaporizka,2022-06-05,1
Dnipropetrovska,2022-05-29,10
Donetska,2022-05-29,23
Kharkivska,2022-05-29,9
Luhanska,2022-05-29,11
Mykolaivska,2022-05-29,3
Sumska,2022-05-29,5
Zaporizka,2022-05-29,14
Dnipropetrovska,2022-05-22,2
Donetska,2022-05-22,29
Kharkivska,2022-05-22,17
Khersonska,2022-05-22,2
Kyivska,2022-05-22,1
Luhanska,2022-05-22,1
Sumska,2022-05-22,1
Zaporizka,2022-05-22,2
Dnipropetrovska,2022-05-15,1
Donetska,2022-05-15,8
Kharkivska,2022-05-15,4
Khersonska,2022-05-15,1
Luhanska,2022-05-15,7
Odeska,2022-05-15,1
Poltavska,2022-05-15,2
Chernihivska,2022-05-08,1
Dnipropetrovska,2022-05-08,6
Donetska,2022-05-08,15
Kharkivska,2022-05-08,4
Kirovohradska,2022-05-08,1
Luhanska,2022-05-08,16
Lvivska,2022-05-08,3
Odeska,2022-05-08,1
Poltavska,2022-05-08,1
Zakarpatska,2022-05-08,2
Dnipropetrovska,2022-05-01,5
Donetska,2022-05-01,10
Kharkivska,2022-05-01,5
Khersonska,2022-05-01,9
Luhanska,2022-05-01,3
Lvivska,2022-05-01,1
Mykolaivska,2022-05-01,1
Rivnenska,2022-05-01,1
Vinnytska,2022-05-01,1
Zaporizka,2022-05-01,2
Dnipropetrovska,2022-04-24,9
Donetska,2022-04-24,19
Kharkivska,2022-04-24,9
Luhanska,2022-04-24,10
Lvivska,2022-04-24,5
Odeska,2022-04-24,1
Poltavska,2022-04-24,2
Zaporizka,2022-04-24,3
Dnipropetrovska,2022-04-17,1
Donetska,2022-04-17,6
Kharkivska,2022-04-17,4
Khersonska,2022-04-17,1
Kirovohradska,2022-04-17,1
Kyivska,2022-04-17,4
Luhanska,2022-04-17,14
Mykolaivska,2022-04-17,1
Poltavska,2022-04-17,1
Zaporizka,2022-04-17,7
Chernihivska,2022-04-10,1
Dnipropetrovska,2022-04-10,2
Donetska,2022-04-10,6
Kharkivska,2022-04-10,10
Kyivska,2022-04-10,1
Luhanska,2022-04-10,7
Mykolaivska,2022-04-10,6
Poltavska,2022-04-10,1
Zaporizka,2022-04-10,4
Zhytomyrska,2022-04-10,2
Chernihivska,2022-04-03,1
Dnipropetrovska,2022-04-03,3
Donetska,2022-04-03,3
Kharkivska,2022-04-03,9
Khmelnytska,2022-04-03,2
Kyiv,2022-04-03,1
Luhanska,2022-04-03,3
Mykolaivska,2022-04-03,1
Odeska,2022-04-03,4
Poltavska,2022-04-03,3
Chernihivska,2022-03-27,2
Dnipropetrovska,2022-03-27,1
Kharkivska,2022-03-27,4
Kyivska,2022-03-27,5
Luhanska,2022-03-27,3
Lvivska,2022-03-27,7
Mykolaivska,2022-03-27,2
Rivnenska,2022-03-27,1
Sumska,2022-03-27,2
Volynska,2022-03-27,2
Zhytomyrska,2022-03-27,2
Chernihivska,2022-03-20,4
Donetska,2022-03-20,10
Kharkivska,2022-03-20,4
Kyiv,2022-03-20,6
Kyivska,2022-03-20,2
Lvivska,2022-03-20,1
Rivnenska,2022-03-20,2
Sumska,2022-03-20,2
Vinnytska,2022-03-20,1
Zaporizka,2022-03-20,1
Zhytomyrska,2022-03-20,1
Chernihivska,2022-03-13,7
Donetska,2022-03-13,5
Kharkivska,2022-03-13,3
Kyivska,2022-03-13,9
Luhanska,2022-03-13,3
Mykolaivska,2022-03-13,5
Sumska,2022-03-13,2
Zaporizka,2022-03-13,1
Zhytomyrska,2022-03-13,6
Chernihivska,2022-03-06,1
Donetska,2022-03-06,2
Kharkivska,2022-03-06,6
Khersonska,2022-03-06,1
Kyiv,2022-03-06,3
Kyivska,2022-03-06,8
Luhanska,2022-03-06,4
Sumska,2022-03-06,2
Vinnytska,2022-03-06,1
Zaporizka,2022-03-06,3
Zhytomyrska,2022-03-06,5
Cherkaska,2022-02-27,2
Chernihivska,2022-02-27,6
Donetska,2022-02-27,2
Kharkivska,2022-02-27,5
Khersonska,2022-02-27,3
Kirovohradska,2022-02-27,1
Kyiv,2022-02-27,1
Kyivska,2022-02-27,2
Luhanska,2022-02-27,2
Mykolaivska,2022-02-27,2
Sumska,2022-02-27,3
Zaporizka,2022-02-27,1
Donetska,2022-02-06,1
