damage_id,iso3,country,gid_1,oblast,rayon,type_of_infrastructure,if_other_what,date_of_event,source_name,source_date,source_link,additional_sources,extent_of_damage,_internal_filter_date,_weights,access_subindicator,pcode
D19826,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Government facilities,,2025-02-14,UNN,2025-02-14,https://unn.ua/en/news/aggressor-attacked-five-communities-in-dnipropetrovska-oblast-what-was-damaged,,Destroyed,2025-02-14,0.7,['7.2'],UA12
D19827,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Electricity supply system,,2025-02-14,UNN,2025-02-14,https://unn.ua/en/news/aggressor-attacked-five-communities-in-dnipropetrovska-oblast-what-was-damaged,,Partially damaged,2025-02-14,0.7,['7.2'],UA12
D19828,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Gas supply system,,2025-02-14,UNN,2025-02-14,https://unn.ua/en/news/aggressor-attacked-five-communities-in-dnipropetrovska-oblast-what-was-damaged,,Partially damaged,2025-02-14,0.7,['7.2'],UA12
D19829,UKR,Ukraine,['UKR.5_1'],Dnipropetrovska,Nikopolskyi,Electricity supply system,,2025-02-14,RBC,2025-02-14,https://www.rbc.ua/rus/news/armiya-rf-obstrilyala-nikopolskiy-rayon-ova-1739512816.html,,Partially damaged,2025-02-14,0.7,['7.2'],UA12
D19830,UKR,Ukraine,['UKR.12_1'],Kyivska,Fastivskyi,Warehouse,,2025-02-14,RBC,2025-02-14,https://www.rbc.ua/rus/news/kiyivskiy-oblasti-zgorili-skladi-cherez-nichnu-1739518211.html,,Destroyed,2025-02-14,0.7,['7.2'],UA32
D19831,UKR,Ukraine,['UKR.17_1'],Odeska,Odeskyi,Harbor,,2025-02-13,DW,2025-02-14,https://suspilne.media/odesa/948295-rf-atakuvala-odesu-ta-rajon-balistikou-j-dronami-prokuratura-rozpocala-rozsliduvanna/,,Partially damaged,2025-02-13,0.7,['9.2'],UA51
D19832,UKR,Ukraine,['UKR.17_1'],Odeska,Odeskyi,Industrial/Business/Enterprise facilities,,2025-02-13,DW,2025-02-14,https://suspilne.media/odesa/948295-rf-atakuvala-odesu-ta-rajon-balistikou-j-dronami-prokuratura-rozpocala-rozsliduvanna/,,Partially damaged,2025-02-13,0.7,['7.2'],UA51
D19833,UKR,Ukraine,['UKR.2_1'],Chernihivska,Novhorod-Siverskyi,"Cultural facilities (museum, theater etc.)",,2025-02-14,Suspilne,2025-02-14,https://suspilne.media/chernihiv/948673-vijska-rf-atakuvali-dvoma-fpv-dronami-budinok-kulturi-u-kostobobrovi-so-na-prikordonni-cernigivsini/,,Partially damaged,2025-02-14,0.7,['7.2'],UA74
D19834,UKR,Ukraine,['UKR.9_1'],Khersonska,Khersonskyi,"Health facility (hospital, health clinic)",,2025-02-14,Suspilne,2025-02-14,https://suspilne.media/kherson/948511-cotirikimnatna-kvartira-stala-odnokimnatnou-cerez-diru-susidskij-pidizd-vidno-ocevidci-pro-obstrili-hersona/,,Partially damaged,2025-02-14,0.7,['7.2'],UA65
D19835,UKR,Ukraine,['UKR.9_1'],Khersonska,Khersonskyi,"Education facility (school, etc.)",,2025-02-14,Suspilne,2025-02-14,https://suspilne.media/kherson/948511-cotirikimnatna-kvartira-stala-odnokimnatnou-cerez-diru-susidskij-pidizd-vidno-ocevidci-pro-obstrili-hersona/,,Partially damaged,2025-02-14,0.7,['7.2'],UA65
D19836,UKR,Ukraine,['UKR.6_1'],Donetska,Kramatorskyi,Government facilities,,2025-02-13,Suspilne,2025-02-14,https://suspilne.media/donbas/947893-golovni-novini-doneckoi-ta-luganskoi-oblastej-podii-14-lutogo/,,Partially damaged,2025-02-13,0.7,['7.2'],UA14
